월,경로,KPI매출
2025년 8월,Amazon(USA),"910,171,022"
2025년 8월,B2B(GLOBAL),"3,000,000,000"
2025년 8월,Shopee(PH),"60,000,000"
2025년 8월,Shopee(MY),"55,000,000"
2025년 8월,Shopee(SG),"130,000,000"
2025년 8월,Shopee(VN),"15,000,000"
2025년 8월,Shopee(TW),"15,000,000"
2025년 8월,TikTokShop(USA),"36,000,000"
2025년 8월,Shopee(TH),"10,000,000"
2025년 7월,Amazon(USA),"1,008,355,427"
2025년 7월,B2B(GLOBAL),"2,540,000,000"
2025년 7월,Shopee(PH),"70,000,000"
2025년 7월,Shopee(MY),"45,000,000"
2025년 7월,Shopee(SG),"75,000,000"
2025년 7월,Shopee(VN),"20,000,000"
2025년 7월,Shopee(TW),"25,000,000"
2025년 7월,TikTokShop(USA),"170,000,000"
2025년 7월,Shopee(TH),"10,000,000"
2025년 6월,Amazon(USA),"637,530,898"
2025년 6월,B2B(GLOBAL),"2,800,000,000"
2025년 6월,Shopee(PH),"40,000,000"
2025년 6월,Shopee(MY),"30,000,000"
2025년 6월,Shopee(SG),"85,000,000"
2025년 6월,Shopee(VN),"20,000,000"
2025년 6월,Shopee(TW),"10,000,000"
2025년 6월,TikTokShop(USA),"364,400,000"
2025년 6월,Shopee(TH),"15,000,000"
2025년 5월,Amazon(USA),"763,319,845"
2025년 5월,B2B(GLOBAL),"3,000,000,000"
2025년 5월,Shopee(PH),"50,000,000"
2025년 5월,Shopee(MY),"30,000,000"
2025년 5월,Shopee(SG),"60,000,000"
2025년 5월,Shopee(VN),"20,000,000"
2025년 5월,Shopee(TW),"6,000,000"
2025년 5월,TikTokShop(USA),"250,000,000"
2025년 5월,Shopee(TH),"6,000,000"
